,Part1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PQ17-039,614,QM,E7,M,Officer of the Deck,Administration,NAVEDTRA 43397-F (306 Officer of the Deck),10/2/2017,300 Series PQS Watch Station,Verify safe conditions for sonar operations,All Sailor Task (ships),Yes,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Pending validation and GFI,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
PQ17-040,615,QM,E7,M,Officer of the Deck,Administration,NAVEDTRA 43397-F (306 Officer of the Deck),10/2/2017,300 Series PQS Watch Station,Verify safe conditions for ordnance handling,All Sailor Task (ships),Yes,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Pending validation and GFI,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
PQ17-041,616,QM,E7,M,Officer of the Deck,Administration,NAVEDTRA 43397-F (306 Officer of the Deck),10/2/2017,300 Series PQS Watch Station,Verify safe conditions for turnover of (jack) main engines,All Sailor Task (ships),Yes,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Pending validation and GFI,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
PQ17-042,617,QM,E7,M,Officer of the Deck,Administration,NAVEDTRA 43397-F (306 Officer of the Deck),10/2/2017,300 Series PQS Watch Station,Observe lowering and raising of ship's boats,All Sailor Task (ships),Yes,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Pending validation and GFI,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
PQ17-043,618,QM,E7,M,Officer of the Deck,Administration,NAVEDTRA 43397-F (306 Officer of the Deck),10/2/2017,300 Series PQS Watch Station,Prepare for getting underway,All Sailor Task (ships),Yes,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Pending validation and GFI,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
PQ17-044,619,QM,E7,M,Officer of the Deck,Administration,NAVEDTRA 43397-F (306 Officer of the Deck),10/2/2017,300 Series PQS Watch Station,Observe working mooring lines with capstan,All Sailor Task (ships),Yes,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Pending validation and GFI,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
PQ17-045,620,QM,E7,M,Officer of the Deck,Administration,NAVEDTRA 43397-F (306 Officer of the Deck),10/2/2017,300 Series PQS Watch Station,Set HERO restrictions,All Sailor Task (ships),Yes,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Pending validation and GFI,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
PQ17-046,621,QM,E7,M,Officer of the Deck,Administration,NAVEDTRA 43397-F (306 Officer of the Deck),10/2/2017,300 Series PQS Watch Station,Verify safe conditions for air operations (in-port),All Sailor Task (ships),Yes,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Pending validation and GFI,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
PQ17-047,622,QM,E7,M,Officer of the Deck,Administration,NAVEDTRA 43397-F (306 Officer of the Deck),10/2/2017,300 Series PQS Watch Station,Respond to political asylum/temporary refuge request,All Sailor Task (ships),Yes,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Pending validation and GFI,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
PQ17-048,623,QM,E7,M,Officer of the Deck,Administration,NAVEDTRA 43397-F (306 Officer of the Deck),10/2/2017,300 Series PQS Watch Station,Respond to storm warning,All Sailor Task (ships),Yes,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Pending validation and GFI,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
PQ17-049,624,QM,E7,M,Officer of the Deck,Administration,NAVEDTRA 43397-F (306 Officer of the Deck),10/2/2017,300 Series PQS Watch Station,Receive personnel in UA/deserter status,All Sailor Task (ships),Yes,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Pending validation and GFI,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
PQ17-050,625,QM,E7,M,Officer of the Deck,Administration,NAVEDTRA 43397-F (306 Officer of the Deck),10/2/2017,300 Series PQS Watch Station,Receive personnel from civil/military authorities,All Sailor Task (ships),Yes,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Pending validation and GFI,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
PQ17-051,626,QM,E7,M,Officer of the Deck,Administration,NAVEDTRA 43397-F (306 Officer of the Deck),10/2/2017,300 Series PQS Watch Station,Observe crane operations,All Sailor Task (ships),Yes,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Pending validation and GFI,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
PQ17-052,627,QM,E7,M,Officer of the Deck,Administration,NAVEDTRA 43397-F (306 Officer of the Deck),10/2/2017,300 Series PQS Watch Station,Respond to American Red Cross emergency notification,All Sailor Task (ships),Yes,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Pending validation and GFI,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
PQ17-053,628,QM,E7,M,Officer of the Deck,Administration,NAVEDTRA 43397-F (306 Officer of the Deck),10/2/2017,300 Series PQS Watch Station,"Observe an anchor chain under light, moderate, and heavy strain and receive reports from the anchor watch",All Sailor Task (ships),Yes,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Pending validation and GFI,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
PQ17-054,629,QM,E7,M,Officer of the Deck,Administration,NAVEDTRA 43397-F (306 Officer of the Deck),10/2/2017,300 Series PQS Watch Station,Receive drunk/disorderly personnel,All Sailor Task (ships),Yes,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Pending validation and GFI,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
